Make,Model,'Vehicle Class','Engine Size(L)',Cylinders,Transmission,'Fuel Type','Fuel Consumption City (L/100 km)','Fuel Consumption Hwy (L/100 km)','Fuel Consumption Comb (L/100 km)','Fuel Consumption Comb (mpg)','CO2 Emissions(g/km)'
FIAT,'500 HATCHBACK TURBO',MINICOMPACT,1.4,4.0,M5,X,8.5,6.9,7.8,36.0,183
ACURA,'MDX SH-AWD','SUV - SMALL',3.5,6.0,AS9,Z,12.3,9.2,10.9,26.0,254
AUDI,'A3 CABRIOLET QUATTRO',SUBCOMPACT,2.0,4.0,AM6,Z,10.1,7.5,8.9,32.0,205
BMW,340i,COMPACT,3.0,6.0,M6,Z,11.6,7.8,9.9,29.0,231
HONDA,FIT,'STATION WAGON - SMALL',1.5,,AV,X,7.0,5.9,6.5,43.0,151
HONDA,'CR-V AWD','SUV - SMALL',1.5,4.0,AV,X,8.7,7.4,8.1,35.0,189
NISSAN,370Z,TWO-SEATER,3.7,6.0,M6,Z,13.3,9.3,11.5,25.0,264
FORD,'Mustang Convertible',SUBCOMPACT,2.3,4.0,AS10,X,11.9,8.4,,27.0,243
AUDI,'A5 CABRIOLET QUATTRO',SUBCOMPACT,2.0,4.0,AS8,Z,11.3,8.0,9.8,29.0,230
HYUNDAI,ELANTRA,MID-SIZE,2.0,4.0,M6,X,9.8,7.0,8.5,33.0,196
CHEVROLET,Trax,'SUV - SMALL',1.4,4.0,AS6,X,9.1,7.6,8.4,34.0,196
FORD,'EDGE AWD','SUV - SMALL',2.0,4.0,AS6,X,11.9,8.6,10.4,27.0,244
BMW,'Z4 sDRIVE35i',TWO-SEATER,3.0,6.0,AM7,Z,13.7,10.1,12.1,23.0,278
FORD,'Edge AWD','SUV - SMALL',,4.0,AS8,X,11.4,8.3,10.0,28.0,233
CHEVROLET,'Colorado 4WD','PICKUP TRUCK - SMALL',2.5,4.0,A6,X,12.6,9.7,11.3,25.0,265
AUDI,Q5,'SUV - SMALL',2.0,4.0,AS7,Z,10.4,8.6,9.6,29.0,226
GMC,'ACADIA AWD','SUV - STANDARD',3.6,6.0,,X,16.1,10.8,13.7,21.0,323
,PASSAT,MID-SIZE,3.6,,AM6,X,12.2,8.5,10.6,27.0,246
KIA,Sportage,'SUV - SMALL',2.4,4.0,AS6,X,10.3,7.8,9.2,31.0,218
PORSCHE,BOXSTER,TWO-SEATER,2.0,4.0,AM7,Z,10.5,8.0,9.4,30.0,219
CHRYSLER,'Pacifica (Stop-Start)',MINIVAN,3.6,6.0,A9,X,12.4,8.4,10.6,27.0,249
FORD,'EXPLORER FFV AWD','SUV - STANDARD',3.5,6.0,AS6,E,19.7,14.3,17.3,16.0,288
MERCEDES-BENZ,'GLK 250 BLUETEC 4MATIC','SUV - SMALL',2.1,4.0,AS7,D,9.6,7.0,8.5,33.0,230
KIA,'SPORTAGE AWD','SUV - SMALL',2.4,4.0,A6,X,12.0,9.1,10.7,26.0,246
BUICK,VERANO,COMPACT,2.0,4.0,AS6,Z,11.4,7.9,9.8,29.0,231
PORSCHE,'911 TURBO S',MINICOMPACT,3.8,6.0,AM7,Z,12.6,9.9,,25.0,266
CHEVROLET,'SILVERADO 4WD','PICKUP TRUCK - STANDARD',5.3,8.0,A6,E,19.9,14.2,17.3,16.0,277
FORD,'ESCAPE AWD','SUV - SMALL',2.0,4.0,AS6,X,,8.4,10.0,28.0,236
CHEVROLET,'SILVERADO 4WD FFV','PICKUP TRUCK - STANDARD',4.3,6.0,A6,E,20.2,15.2,18.0,16.0,294
MINI,'COOPER ROADSTER',TWO-SEATER,,4.0,AS6,Z,8.6,6.5,7.7,37.0,177
CHEVROLET,TAHOE,'SUV - STANDARD',5.3,8.0,A6,E,20.2,13.6,17.2,16.0,275
MINI,'JOHN COOPER WORKS CLUBMAN',SUBCOMPACT,1.6,4.0,M6,Z,9.1,6.7,8.0,35.0,184
VOLVO,'V60 POLESTAR','STATION WAGON - SMALL',2.0,4.0,AS8,Z,11.8,8.5,10.3,27.0,241
ROLLS-ROYCE,WRAITH,MID-SIZE,6.6,12.0,AS8,Z,19.0,12.5,16.1,18.0,375
PORSCHE,'CAYENNE PLATINUM','SUV - STANDARD',3.6,6.0,A8,Z,13.6,10.2,12.1,23.0,281
ROLLS-ROYCE,DAWN,COMPACT,6.6,12.0,AS8,Z,20.0,12.6,16.7,17.0,390
HONDA,'CIVIC SEDAN',MID-SIZE,1.5,4.0,AV,X,7.4,5.6,6.6,43.0,153
MINI,'John Cooper Works Convertible',MINICOMPACT,2.0,4.0,AS6,Z,9.4,7.2,8.4,34.0,197
JAGUAR,'F-TYPE R COUPE AWD',TWO-SEATER,5.0,8.0,AS6,,15.6,10.4,13.3,,311
BMW,'X3 xDRIVE35i','SUV - SMALL',3.0,6.0,AS8,Z,12.7,8.8,10.9,26.0,257
FORD,'F-150 FFV (Payload Pkg)','PICKUP TRUCK - STANDARD',5.0,8.0,AS10,E,19.9,15.8,18.0,16.0,300
BMW,'320i SEDAN',COMPACT,2.0,4.0,AS8,Z,10.0,6.5,8.4,34.0,193
VOLKSWAGEN,'Jetta GLI',COMPACT,2.0,4.0,M6,X,9.6,7.1,8.5,33.0,198
LEXUS,'ES 300h',,2.5,4.0,AV6,X,5.8,6.1,5.9,48.0,139
FORD,ESCAPE,'SUV - SMALL',2.0,4.0,AS6,X,10.9,8.0,9.6,29.0,221
FORD,MUSTANG,SUBCOMPACT,3.7,6.0,M6,X,13.6,8.4,11.2,25.0,264
FORD,'Mustang Convertible',SUBCOMPACT,2.3,4.0,AS10,X,11.9,8.4,10.4,27.0,243
INFINITI,,SUBCOMPACT,3.7,6.0,M6,Z,13.5,9.3,11.6,24.0,267
NISSAN,QUEST,MINIVAN,3.5,,AV,X,12.0,8.7,10.5,27.0,242
PORSCHE,'911 Carrera S Cabriolet',MINICOMPACT,3.0,6.0,AM8,Z,12.7,10.2,11.6,24.0,272
LEXUS,'RX 350 AWD','SUV - SMALL',3.5,6.0,AS8,X,12.2,8.9,10.7,26.0,251
MAZDA,'CX-5 (Cylinder Deactivation)','SUV - SMALL',2.5,4.0,AS6,X,9.3,7.6,8.5,33.0,201
ROLLS-ROYCE,'PHANTOM DROPHEAD COUPE',COMPACT,6.7,12.0,A8,Z,20.7,12.7,17.1,17.0,393
JAGUAR,'XJR LWB',FULL-SIZE,5.0,8.0,AS8,Z,15.8,10.3,13.3,21.0,313
JEEP,'CHEROKEE FFV','SUV - SMALL',2.4,4.0,A9,X,10.9,7.7,9.5,30.0,223
HONDA,'Civic Hatchback Sport',FULL-SIZE,1.5,4.0,AV7,Z,7.9,6.6,7.3,39.0,170
MERCEDES-BENZ,'AMG GT C COUPE',TWO-SEATER,4.0,8.0,AM7,Z,15.5,11.7,13.8,,322
FORD,'EDGE AWD','SUV - SMALL',2.0,4.0,AS6,X,11.8,8.4,10.3,27.0,240
SCION,tC,COMPACT,2.5,4.0,M6,X,10.2,,9.0,31.0,210
CHEVROLET,'EQUINOX AWD FFV','SUV - SMALL',2.4,4.0,A6,E,16.3,11.8,14.2,20.0,234
HYUNDAI,ACCENT,COMPACT,1.6,4.0,M6,X,8.2,6.3,7.3,39.0,173
GMC,'YUKON 4WD','SUV - STANDARD',5.3,8.0,A6,X,15.1,10.4,13.0,22.0,299
MINI,'COOPER CONVERTIBLE',MINICOMPACT,1.6,4.0,M6,Z,8.6,6.8,7.8,36.0,179
HONDA,Odyssey,MINIVAN,3.5,6.0,AS10,X,12.2,8.5,10.6,27.0,248
ACURA,'RDX AWD','SUV - SMALL',3.5,6.0,AS6,Z,12.4,8.7,10.7,26.0,250
HONDA,'PILOT AWD','SUV - SMALL',3.5,6.0,A6,X,13.0,9.3,11.3,25.0,266
LEXUS,'LS 500',MID-SIZE,3.4,6.0,AS10,Z,12.2,7.8,10.2,28.0,240
CADILLAC,XT4,'SUV - SMALL',2.0,4.0,AS9,Z,9.8,7.8,8.9,32.0,209
MERCEDES-BENZ,'AMG GT S COUPE',TWO-SEATER,4.0,8.0,AM7,Z,14.5,10.8,12.8,22.0,302
JEEP,PATRIOT,'SUV - SMALL',2.0,4.0,M5,X,10.2,7.8,9.2,31.0,212
DODGE,'CHARGER FFV',FULL-SIZE,3.6,6.0,A8,X,12.4,7.7,10.3,27.0,237
CHEVROLET,SONIC,COMPACT,1.8,4.0,AS6,X,9.7,6.9,8.4,34.0,197
TOYOTA,'SEQUOIA 4WD','SUV - STANDARD',5.7,8.0,AS6,X,19.0,13.9,16.7,17.0,384
HONDA,,MID-SIZE,1.5,4.0,M6,Z,8.9,6.4,7.8,36.0,183
DODGE,DART,MID-SIZE,2.4,4.0,A6,X,10.1,6.8,8.6,33.0,202
MERCEDES-BENZ,'E 400 CABRIOLET',SUBCOMPACT,3.5,6.0,AS7,Z,11.5,8.1,10.0,28.0,230
HYUNDAI,Elantra,MID-SIZE,2.0,4.0,AV,X,7.8,5.6,6.8,42.0,161
MASERATI,'GHIBLI AWD',MID-SIZE,3.0,6.0,AS8,Z,15.2,9.6,12.7,22.0,292
RAM,'ProMaster City','SPECIAL PURPOSE VEHICLE',2.4,4.0,A9,X,11.2,8.3,9.9,29.0,232
KIA,'Sportage AWD',,2.4,4.0,AS6,X,10.8,9.1,10.0,28.0,239
BMW,'X4 M40i','SUV - SMALL',3.0,6.0,AS8,Z,11.9,8.7,10.4,27.0,245
MERCEDES-BENZ,'E 300 4MATIC',MID-SIZE,3.5,6.0,AS7,Z,11.9,8.2,10.2,28.0,235
HYUNDAI,ACCENT,COMPACT,1.6,4.0,AS6,X,8.9,6.3,7.7,37.0,179
PORSCHE,'911 CARRERA 4',MINICOMPACT,3.4,6.0,M7,Z,12.3,8.7,10.7,26.0,251
LINCOLN,'MKX AWD','SUV - SMALL',2.7,6.0,AS6,X,14.1,9.8,12.1,23.0,284
JAGUAR,'F-TYPE V8 S CONVERTIBLE',TWO-SEATER,5.0,8.0,AS8,Z,15.0,10.2,12.8,22.0,294
'ASTON MARTIN',VANQUISH,MINICOMPACT,6.0,12.0,A8,Z,17.5,11.4,14.7,19.0,345
CHEVROLET,'EQUINOX AWD FFV','SUV - SMALL',2.4,4.0,A6,E,16.3,11.8,14.2,20.0,234
LAMBORGHINI,'HURACAN SPYDER',TWO-SEATER,5.2,10.0,AM7,Z,16.9,11.8,14.6,19.0,340
FORD,'ESCAPE AWD','SUV - SMALL',2.0,4.0,AS6,X,11.4,8.4,10.0,28.0,236
MINI,'JOHN COOPER WORKS COUPE',TWO-SEATER,1.6,4.0,AS6,Z,9.2,6.8,8.1,35.0,186
MERCEDES-BENZ,'SLC 300',TWO-SEATER,2.0,4.0,A9,Z,10.0,7.3,8.8,32.0,205
BMW,'430i xDRIVE CABRIOLET',SUBCOMPACT,2.0,4.0,AS8,Z,10.7,7.3,,31.0,214
HYUNDAI,Elantra,MID-SIZE,1.6,4.0,AM7,X,8.9,7.0,8.1,35.0,189
MERCEDES-BENZ,'AMG SL 65',TWO-SEATER,6.0,12.0,A7,Z,17.6,10.8,14.5,,339
GENESIS,'G90 AWD',FULL-SIZE,3.3,6.0,AS8,Z,13.6,9.5,11.8,24.0,280
AUDI,'A3 TDI (modified)',SUBCOMPACT,2.0,4.0,AM6,D,7.6,,6.5,43.0,177
MITSUBISHI,'LANCER EVOLUTION',COMPACT,2.0,4.0,M5,Z,14.0,10.3,12.3,,283
BMW,'Z4 sDRIVE28i',TWO-SEATER,2.0,4.0,AS8,Z,10.7,7.1,9.1,31.0,209
SUBARU,WRX,COMPACT,2.5,4.0,M6,Z,13.8,10.2,12.2,23.0,281
CADILLAC,XT4,'SUV - SMALL',2.0,4.0,AS9,Z,9.8,7.8,8.9,32.0,209
PORSCHE,'CAYENNE PLATINUM','SUV - STANDARD',3.6,6.0,A8,Z,13.6,10.2,12.1,23.0,281
JEEP,'Grand Cherokee 4X4 SRT','SUV - STANDARD',,8.0,A8,Z,18.3,12.6,15.7,18.0,368
BMW,'330i xDrive',COMPACT,2.0,4.0,AS8,Z,9.5,6.9,8.3,34.0,194
VOLKSWAGEN,JETTA,COMPACT,1.8,4.0,M5,X,9.4,6.7,8.2,34.0,189
CHEVROLET,'Camaro SS',SUBCOMPACT,6.2,8.0,M6,Z,14.9,9.9,12.6,22.0,296
ACURA,'RDX AWD','SUV - SMALL',3.5,6.0,AS6,Z,,8.7,10.7,26.0,250
DODGE,'CHARGER FFV',FULL-SIZE,3.6,6.0,A5,E,18.9,12.7,16.1,18.0,268
HYUNDAI,Elantra,MID-SIZE,1.6,4.0,M6,X,10.7,7.8,9.4,30.0,221
MERCEDES-BENZ,'AMG GT S COUPE',TWO-SEATER,4.0,8.0,AM7,Z,14.5,10.8,12.8,22.0,302
FORD,'E350 WAGON FFV',,5.4,8.0,A4,E,26.7,20.5,23.9,12.0,382
MINI,'COOPER S CLUBMAN',MID-SIZE,2.0,4.0,AS8,Z,10.0,7.2,8.7,32.0,205
BMW,'328i xDRIVE GRAN TURISMO',FULL-SIZE,2.0,4.0,A8,Z,10.6,7.2,9.1,31.0,209
CHEVROLET,'EQUINOX FFV','SUV - SMALL',2.4,4.0,A6,X,10.5,7.3,9.1,31.0,209
,M2,SUBCOMPACT,3.0,6.0,M6,Z,13.1,9.2,11.4,25.0,267
SCION,FR-S,MINICOMPACT,2.0,4.0,M6,Z,10.9,7.9,9.6,29.0,224
DODGE,'JOURNEY FFV','SUV - SMALL',3.6,6.0,A6,E,19.1,13.2,16.4,17.0,274
MINI,'COOPER S CLUBMAN',MID-SIZE,2.0,4.0,M6,Z,10.8,7.7,9.4,30.0,220
JEEP,'CHEROKEE TRAILHAWK 4X4','SUV - SMALL',3.2,6.0,A9,X,12.2,9.0,10.8,26.0,248
BUICK,'LaCrosse AWD',MID-SIZE,3.6,6.0,AS9,X,11.7,8.2,10.1,28.0,238
PORSCHE,Macan,'SUV - SMALL',2.0,4.0,AM7,Z,12.2,10.2,11.3,25.0,264
BMW,'440i xDRIVE GRAN COUPE',COMPACT,3.0,6.0,AS8,,11.4,7.8,9.8,29.0,228
NISSAN,MICRA,COMPACT,1.6,4.0,M5,X,8.6,6.6,7.7,37.0,177
AUDI,'Q5 HYBRID','SUV - SMALL',2.0,4.0,AS8,Z,9.8,7.9,8.9,32.0,205
JAGUAR,'XJR  LWB',FULL-SIZE,5.0,8.0,AS8,Z,15.8,10.3,13.3,21.0,313
VOLKSWAGEN,'GOLF ALLTRACK','STATION WAGON - SMALL',1.8,4.0,AM6,X,10.7,8.0,9.4,30.0,220
BUICK,LACROSSE,MID-SIZE,3.6,6.0,AS6,X,13.7,8.7,11.5,25.0,264
VOLKSWAGEN,'GOLF WAGON TDI (modified)','STATION WAGON - SMALL',2.0,4.0,M6,D,8.3,6.0,7.3,39.0,196
HYUNDAI,ELANTRA,MID-SIZE,1.8,4.0,M6,X,8.8,6.4,7.7,37.0,177
GMC,CANYON,'PICKUP TRUCK - SMALL',2.5,4.0,A6,X,12.0,9.2,10.7,26.0,252
ACURA,'RLX HYBRID',MID-SIZE,3.5,6.0,AM7,Z,8.4,8.2,8.4,34.0,196
PORSCHE,Macan,'SUV - SMALL',2.0,4.0,AM7,Z,12.2,10.2,11.3,25.0,264
MINI,'Cooper S 3 Door',SUBCOMPACT,2.0,4.0,M6,Z,10.2,7.4,9.0,31.0,210
SUBARU,'IMPREZA WAGON AWD','STATION WAGON - SMALL',2.0,4.0,AV6,X,8.5,6.4,7.6,37.0,175
CADILLAC,CTS-V,MID-SIZE,6.2,8.0,AS8,Z,16.6,11.1,14.1,20.0,332
MERCEDES-BENZ,'AMG S 65 Coupe',COMPACT,6.0,12.0,A9,Z,17.6,11.0,14.6,19.0,343
MINI,'Cooper 5 Door',SUBCOMPACT,1.5,3.0,M6,Z,8.4,6.3,7.5,38.0,175
GMC,'Sierra WT 4WD','PICKUP TRUCK - STANDARD',2.7,4.0,A8,X,12.7,11.0,12.0,24.0,280
NISSAN,Sentra,MID-SIZE,2.0,4.0,M6,X,9.4,6.4,8.0,35.0,188
LAMBORGHINI,HURACAN,TWO-SEATER,5.2,10.0,AM7,Z,16.8,11.4,14.4,20.0,336
MERCEDES-BENZ,'G 63 AMG','SUV - STANDARD',5.5,8.0,AS7,Z,20.0,16.6,18.5,15.0,426
,'Mazda3 5-Door 4WD',MID-SIZE,2.5,4.0,AS6,X,9.8,7.4,8.7,32.0,204
RAM,'1500 4X4 FFV','PICKUP TRUCK - STANDARD',3.6,6.0,A8,X,14.5,10.2,12.6,22.0,294
GMC,'TERRAIN AWD','SUV - SMALL',3.6,6.0,A6,X,14.9,10.1,12.8,22.0,300
LEXUS,'RC F',SUBCOMPACT,5.0,8.0,AS8,Z,14.4,9.6,12.2,23.0,285
FORD,'EXPLORER FFV AWD','SUV - STANDARD',3.5,6.0,AS6,E,19.7,14.3,17.3,16.0,288
VOLKSWAGEN,'Golf SportWagen 4MOTION','STATION WAGON - SMALL',1.8,4.0,AM6,X,10.8,8.1,9.6,29.0,224
PORSCHE,'Cayenne S','SUV - STANDARD',2.9,6.0,AS8,Z,12.9,10.4,11.8,24.0,275
FORD,MUSTANG,SUBCOMPACT,3.7,6.0,M6,X,13.6,8.4,11.2,25.0,264
'LAND ROVER',LR4,'SUV - STANDARD',3.0,6.0,AS8,Z,16.2,12.1,14.3,20.0,336
CHEVROLET,EQUINOX,'SUV - SMALL',2.4,4.0,A6,X,10.5,7.3,9.1,31.0,209
BMW,'435i xDRIVE COUPE',COMPACT,3.0,6.0,AS8,Z,12.0,7.9,10.2,28.0,238
MERCEDES-BENZ,'GLE 550 4MATIC','SUV - STANDARD',4.7,8.0,A9,Z,15.2,11.4,13.5,21.0,317
BMW,'328d xDRIVE',COMPACT,2.0,4.0,,D,7.8,5.9,7.0,40.0,184
FORD,'E350 WAGON FFV','VAN - PASSENGER',5.4,8.0,A4,E,26.7,20.5,23.9,12.0,382
BMW,'650i xDRIVE CABRIOLET',SUBCOMPACT,4.4,8.0,AS8,Z,14.3,9.3,12.1,23.0,283
RAM,'ProMaster City','SPECIAL PURPOSE VEHICLE',2.4,4.0,A9,X,11.2,8.3,9.9,29.0,232
CADILLAC,'CT6 AWD',FULL-SIZE,3.6,6.0,AS10,X,13.0,8.8,11.1,25.0,261
CHEVROLET,SILVERADO,'PICKUP TRUCK - STANDARD',5.3,8.0,A6,X,14.6,10.4,12.7,22.0,298
HONDA,CIVIC,COMPACT,1.8,4.0,AV,X,7.9,6.1,7.1,40.0,163
AUDI,'TTS Coupe',SUBCOMPACT,2.0,4.0,AM7,,10.4,8.2,9.4,30.0,220
TOYOTA,TUNDRA,'PICKUP TRUCK - STANDARD',4.6,8.0,AS6,X,15.8,12.3,14.2,20.0,334
PORSCHE,'911 Carrera S Cabriolet',MINICOMPACT,3.0,6.0,AM8,Z,12.7,10.2,11.6,24.0,272
VOLKSWAGEN,'GOLF R',COMPACT,2.0,4.0,M6,Z,11.1,8.1,9.8,29.0,227
MERCEDES-BENZ,'AMG C 43 4MATIC Wagon','STATION WAGON - SMALL',3.0,6.0,A9,Z,12.4,8.9,10.8,26.0,255
BUICK,LACROSSE,MID-SIZE,3.6,6.0,AS6,X,13.7,8.7,11.5,25.0,264
MERCEDES-BENZ,'E 400 4MATIC WAGON','STATION WAGON - MID-SIZE',3.0,6.0,AS7,Z,12.4,8.9,10.8,26.0,253
BMW,'435i xDRIVE COUPE',COMPACT,3.0,6.0,AS8,Z,12.0,7.9,10.2,28.0,238
,'AMG S 65',FULL-SIZE,6.0,12.0,AS7,Z,17.6,10.9,14.6,19.0,349
BENTLEY,'Continental GT',COMPACT,6.0,12.0,AM8,Z,19.0,11.6,15.7,18.0,364
KIA,RIO,COMPACT,1.6,4.0,M6,X,8.7,6.4,7.7,37.0,177
DODGE,'CHALLENGER SRT HELLCAT',MID-SIZE,6.2,8.0,M6,Z,18.1,11.4,15.1,19.0,352
PORSCHE,'911 CARRERA 4',MINICOMPACT,3.0,6.0,AM7,Z,10.7,8.3,9.6,29.0,225
CHEVROLET,'CRUZE LIMITED',MID-SIZE,1.8,4.0,M6,X,9.4,6.6,8.1,35.0,190
HYUNDAI,'GENESIS AWD',FULL-SIZE,5.0,8.0,AS8,Z,17.3,10.5,14.2,20.0,327
,'F-150 (Payload Pkg)','PICKUP TRUCK - STANDARD',2.7,6.0,AS10,X,12.4,9.4,11.1,25.0,260
DODGE,'CHARGER AWD',FULL-SIZE,3.6,6.0,A8,X,12.8,8.6,10.9,26.0,251
RAM,'1500 eTorque','PICKUP TRUCK - STANDARD',3.6,6.0,A8,X,11.9,9.4,10.8,26.0,253
CHRYSLER,'300 AWD',FULL-SIZE,3.6,6.0,A8,X,12.8,8.7,11.0,26.0,258
FORD,,COMPACT,,4.0,M5,X,9.3,6.7,8.1,35.0,186
PORSCHE,'911 CARRERA 4S CABRIOLET',MINICOMPACT,3.8,6.0,M7,Z,12.9,9.2,11.2,25.0,258
DODGE,'CHALLENGER (MDS)',MID-SIZE,5.7,8.0,A8,X,14.7,9.4,,23.0,289
LINCOLN,'MKZ HYBRID',MID-SIZE,2.0,4.0,AV,X,5.7,6.2,5.9,48.0,139
LEXUS,'GX 460','SUV - STANDARD',4.6,8.0,AS6,Z,16.0,12.9,14.6,19.0,341
BMW,M3,COMPACT,3.0,6.0,M6,Z,13.5,9.3,11.6,24.0,273
LAMBORGHINI,'HURACAN AWD',TWO-SEATER,5.2,10.0,AM7,Z,17.2,12.2,15.0,19.0,349
MAZDA,MAZDA5,MINIVAN,2.5,4.0,AS5,X,10.8,8.2,9.6,29.0,226
PORSCHE,'911 TARGA 4',MINICOMPACT,3.4,6.0,M7,Z,12.9,9.0,11.1,25.0,255
'ASTON MARTIN',VANQUISH,MINICOMPACT,6.0,12.0,A8,Z,17.5,11.4,14.7,19.0,345
KIA,'SEDONA SX',MINIVAN,3.3,6.0,AS6,X,12.9,9.5,11.4,25.0,269
CHEVROLET,'Malibu Hybrid',MID-SIZE,1.8,4.0,AV,X,4.8,5.5,5.1,55.0,121
LINCOLN,'MKZ HYBRID',MID-SIZE,2.0,4.0,AV,X,5.7,6.2,5.9,48.0,139
CADILLAC,'CTS Vsport',MID-SIZE,3.6,6.0,,Z,15.0,9.9,12.7,,311
VOLKSWAGEN,Jetta,COMPACT,1.4,4.0,M6,X,7.9,5.9,7.0,40.0,163
CHEVROLET,'CRUZE LIMITED ECO',MID-SIZE,1.4,4.0,A6,X,9.0,6.1,7.7,37.0,181
CHEVROLET,'MALIBU LIMITED',MID-SIZE,2.5,4.0,AS6,X,10.0,7.0,8.6,33.0,202
DODGE,'JOURNEY FFV','SUV - SMALL',3.6,6.0,A6,E,19.1,13.2,16.4,17.0,274
BMW,'M4 COUPE',COMPACT,3.0,6.0,AM7,Z,14.0,9.7,12.1,23.0,284
GMC,'YUKON 4WD','SUV - STANDARD',5.3,8.0,A6,X,15.2,10.8,13.2,21.0,310
KIA,'Sorento AWD','SUV - SMALL',3.3,6.0,AS8,X,12.3,9.5,11.1,25.0,261
BMW,'M240i Cabriolet',SUBCOMPACT,3.0,6.0,AS8,Z,11.2,7.8,9.7,29.0,227
DODGE,CHALLENGER,MID-SIZE,3.6,6.0,A5,X,13.2,8.7,11.2,25.0,258
BMW,'435i xDRIVE COUPE',COMPACT,3.0,6.0,AS8,Z,12.0,7.9,,28.0,238
VOLVO,'S60 T6 AWD',COMPACT,2.0,4.0,AS8,Z,11.1,7.3,9.4,30.0,218
CHEVROLET,'EXPRESS 3500 PASSENGER FFV','VAN - PASSENGER',6.0,8.0,A6,X,22.2,15.1,19.0,15.0,437
PORSCHE,'CAYENNE TURBO','SUV - STANDARD',4.8,8.0,A8,Z,16.3,11.0,13.9,20.0,326
VOLKSWAGEN,'GOLF SPORTWAGON TDI (modified)','STATION WAGON - SMALL',2.0,4.0,M6,D,7.6,5.5,6.7,42.0,179
MERCEDES-BENZ,'GL 350 BLUETEC 4MATIC','SUV - STANDARD',3.0,6.0,AS7,D,13.6,10.0,12.0,24.0,322
JEEP,'CHEROKEE TRAILHAWK 4X4','SUV - SMALL',3.2,6.0,A9,X,12.2,9.0,10.8,26.0,248
LINCOLN,'Continental AWD',FULL-SIZE,3.7,6.0,AS6,X,14.3,9.7,12.2,23.0,287
CADILLAC,'CTS Vsport',MID-SIZE,3.6,6.0,AS8,Z,15.0,9.9,12.7,22.0,299
TOYOTA,COROLLA,MID-SIZE,,4.0,M6,X,8.3,6.3,7.4,38.0,170
BMW,'530i xDrive',MID-SIZE,2.0,4.0,AS8,Z,10.2,7.2,8.8,32.0,207
LINCOLN,'Nautilus AWD','SUV - SMALL',2.0,4.0,AS8,X,12.0,9.6,10.7,26.0,250
FORD,'TRANSIT CONNECT TAXI','SPECIAL PURPOSE VEHICLE',1.6,4.0,AS6,X,11.5,8.3,10.1,28.0,232
SUBARU,'Ascent AWD','SUV - STANDARD',2.4,4.0,AV8,X,11.6,9.0,10.4,27.0,244
JEEP,'CHEROKEE 4X4 ACTIVE DRIVE I','SUV - SMALL',2.4,4.0,A9,X,11.3,8.4,10.0,28.0,235
CHEVROLET,'Silverado WT 4WD','PICKUP TRUCK - STANDARD',2.7,4.0,A8,X,12.7,11.0,12.0,24.0,280
MERCEDES-BENZ,,'SUV - STANDARD',3.0,6.0,A9,Z,14.1,,12.6,22.0,297
CHEVROLET,'CRUZE ECO',MID-SIZE,1.4,4.0,A6,X,9.1,6.0,7.7,37.0,177
MAZDA,MAZDA5,MINIVAN,2.5,4.0,AS5,X,10.8,8.2,9.6,29.0,226
TOYOTA,'FJ CRUISER 4WD','SUV - SMALL',4.0,6.0,A5,X,14.3,11.2,12.9,22.0,297
KIA,'SEDONA SX',MINIVAN,3.3,6.0,AS6,X,12.9,9.5,11.4,,269
TOYOTA,'Highlander Hybrid AWD','SUV - STANDARD',2.5,4.0,AV,X,6.7,6.8,6.7,42.0,158
CHEVROLET,'EQUINOX AWD','SUV - SMALL',1.6,4.0,A6,D,8.5,6.1,7.4,38.0,198
BUICK,LACROSSE,MID-SIZE,3.6,6.0,AS9,X,11.3,7.9,9.7,29.0,228
FORD,'F-150 FFV 4X4 (Payload Pkg)','PICKUP TRUCK - STANDARD',5.0,8.0,AS10,X,16.8,12.4,14.8,19.0,347
KIA,'FORTE KOUP',COMPACT,2.0,4.0,M6,X,10.0,7.4,8.8,32.0,206
HYUNDAI,'SANTA FE','SUV - SMALL',3.3,6.0,AS6,X,12.9,9.4,11.3,25.0,265
VOLKSWAGEN,'GOLF SPORTWAGON TDI (modified)','STATION WAGON - SMALL',2.0,4.0,M6,D,7.6,5.5,6.7,42.0,179
MAZDA,MAZDA6,MID-SIZE,2.5,4.0,M6,X,9.4,6.4,8.1,35.0,186
BMW,'M4 CABRIOLET',SUBCOMPACT,3.0,6.0,M6,Z,13.7,9.1,11.7,24.0,273
JEEP,PATRIOT,'SUV - SMALL',2.0,4.0,M5,X,10.2,,9.2,31.0,212
DODGE,'Durango AWD','SUV - STANDARD',3.6,6.0,A8,X,12.7,9.6,11.3,25.0,265
FORD,'F-150 FFV 4X4','PICKUP TRUCK - STANDARD',3.3,6.0,AS6,X,12.8,10.2,11.6,24.0,273
TOYOTA,'HIGHLANDER HYBRID AWD','SUV - STANDARD',3.5,6.0,AV6,X,8.6,8.5,8.5,33.0,196
KIA,'SORENTO AWD FE','SUV - SMALL',3.3,6.0,AS6,X,13.2,9.3,11.4,25.0,270
TOYOTA,'HIGHLANDER HYBRID AWD','SUV - STANDARD',3.5,6.0,AV6,X,8.6,8.5,8.5,33.0,196
BMW,'330i xDRIVE GRAN TURISMO',FULL-SIZE,2.0,4.0,AS8,Z,10.5,,9.1,31.0,213
MASERATI,'QUATTROPORTE GTS',FULL-SIZE,3.8,8.0,AS8,Z,17.6,10.7,14.5,19.0,334
